book_number	chapter	verse	text
10	1	1	Na początku Bóg stworzył niebo i ziemię.
10	1	2	A ziemia była bezkształtna i pusta i ciemność była nad głębią, a Duch Boży unosił się nad wodami.
10	1	3	I Bóg powiedział: Niech stanie się światłość. I stała się światłość.
10	1	4	Bóg widział, że światłość była dobra. I oddzielił Bóg światłość od ciemności.
10	1	5	I nazwał Bóg światłość dniem, a ciemność nazwał nocą. I nastał wieczór i poranek, dzień pierwszy.
10	1	6	Potem Bóg powiedział: Niech stanie się firmament pośrodku wód i niech oddzieli wody od wód.
10	1	7	I uczynił Bóg firmament, i oddzielił wody, które są pod firmamentem, od wód, które są nad firmamentem. I tak się stało.
10	1	8	I Bóg nazwał firmament niebem. I nastał wieczór i poranek, dzień drugi.
10	1	9	Potem Bóg powiedział: Niech się zbiorą w jednym miejscu wody, które są pod niebem, i niech się ukaże sucha powierzchnia. I tak się stało.
10	1	10	I Bóg nazwał suchą powierzchnię ziemią, a zbiorowisko wód – morzami. I Bóg widział, że to było dobre.
10	1	11	Potem Bóg powiedział: Niech ziemia zrodzi trawę, rośliny wydające nasiona i drzewo urodzajne przynoszące owoc według swego rodzaju, którego nasienie będzie w nim na ziemi. I tak się stało.
10	1	12	I ziemia wydała trawę, rośliny wydające nasienie według swego rodzaju i drzewo przynoszące owoc, w którym było nasienie według swego rodzaju. I Bóg widział, że to było dobre.
10	1	13	I nastał wieczór i poranek, dzień trzeci.
10	1	14	Potem Bóg powiedział: Niech się staną światła na firmamencie nieba, by oddzielały dzień od nocy, i niech stanowią znaki, pory roku, dni i lata.
10	1	15	I niech będą światłami na firmamencie nieba, aby świeciły nad ziemią. I tak się stało.
10	1	16	I Bóg uczynił dwa wielkie światła: światło większe, aby rządziło dniem, i światło mniejsze, aby rządziło nocą, oraz gwiazdy.
10	1	17	I Bóg umieścił je na firmamencie nieba, aby świeciły nad ziemią;
10	1	18	I żeby rządziły dniem i nocą, i oddzielały światłość od ciemności. I Bóg widział, że to było dobre.
10	1	19	I nastał wieczór i poranek, dzień czwarty.
10	1	20	Potem Bóg powiedział: Niech wody hojnie wydadzą żywe istoty, a ptactwo niech lata nad ziemią, pod firmamentem nieba.
10	1	21	I Bóg stworzył wielkie wieloryby i wszelkie pływające istoty żywe, które hojnie wydały wody, według ich rodzaju oraz wszelkie ptactwo skrzydlate według jego rodzaju. I Bóg widział, że to było dobre.
10	1	22	Bóg błogosławił je, mówiąc: Bądźcie płodne i rozmnażajcie się, i wypełniajcie wody morskie, a ptactwo niech się rozmnaża na ziemi.
10	1	23	I nastał wieczór i poranek, dzień piąty.
10	1	24	Bóg powiedział też: Niech ziemia wyda istoty żywe według swego rodzaju: bydło, zwierzęta pełzające i zwierzęta ziemi według swego rodzaju. I tak się stało.
10	1	25	I Bóg uczynił zwierzęta ziemi według swego rodzaju i bydło według swego rodzaju, i wszelkie zwierzęta, które pełzają po ziemi według swego rodzaju. I Bóg widział, że to było dobre.
10	1	26	Potem Bóg powiedział: Uczyńmy człowieka na nasz obraz według naszego podobieństwa; niech panuje nad rybami morskimi i ptactwem niebieskim, nad bydłem i całą ziemią oraz nad wszelkimi zwierzętami pełzającymi, które pełzają po ziemi.
10	1	27	Stworzył więc Bóg człowieka na swój obraz, na obraz Boga go stworzył; stworzył ich mężczyzną i kobietą.
10	1	28	I Bóg błogosławił im. Potem Bóg powiedział do nich: Bądźcie płodni i rozmnażajcie się, napełniajcie ziemię i czyńcie ją sobie poddaną; panujcie nad rybami morskimi i nad ptactwem niebieskim, i nad wszelkimi zwierzętami, które poruszają się po ziemi.
10	1	29	I Bóg powiedział: Oto dałem wam wszelkie rośliny wydające z siebie nasienie, które są na powierzchni całej ziemi, i wszelkie drzewo mające owoc drzewa, wydające z siebie nasienie – będą one dla was pokarmem.
10	1	30	I wszelkim zwierzętom ziemi, i wszelkiemu ptactwu niebieskiemu, i wszystkiemu, co pełza po ziemi i ma w sobie życie, pokarmem będą wszelkie rośliny zielone. I tak się stało.
10	1	31	I Bóg widział wszystko, co uczynił, a było to bardzo dobre. I nastał wieczór i poranek, dzień szósty.
10	2	1	Tak ukończone zostały niebiosa i ziemia oraz wszystkie ich zastępy.
10	2	2	W siódmym dniu Bóg ukończył swe dzieło, które uczynił; i odpoczął siódmego dnia od wszelkiego swego dzieła, które stworzył.
10	2	3	I Bóg błogosławił siódmy dzień, i poświęcił go, bo w nim odpoczął od wszelkiego swego dzieła, które Bóg stworzył i uczynił.
10	2	4	Takie są dzieje stworzenia niebios i ziemi w dniu, w którym PAN Bóg uczynił ziemię i niebiosa;
10	2	5	Wszelkie krzewy polne, zanim były na ziemi, i wszelkie rośliny polne, nim wzeszły. Bo PAN Bóg jeszcze nie spuścił deszczu na ziemię i nie było człowieka, który by uprawiał ziemię.
10	2	6	Ale z ziemi wychodziła para, która nawilżała całą powierzchnię ziemi.
10	2	7	Wtedy PAN Bóg ukształtował człowieka z prochu ziemi i tchnął w jego nozdrza tchnienie życia. I człowiek stał się żywą duszą.
10	2	8	PAN Bóg zasadził też ogród w Edenie, na wschodzie, i umieścił tam człowieka, którego ukształtował.
10	2	9	I wywiódł PAN Bóg z ziemi wszelkie drzewa miłe dla oka i których owoce były dobre do jedzenia oraz drzewo życia pośrodku ogrodu i drzewo poznania dobra i zła.
10	2	10	A z Edenu wypływała rzeka, aby nawadniać ogród; i stamtąd dzieliła się na cztery główne rzeki.
10	2	11	Nazwa pierwszej – Piszon; to ta, która okrąża całą ziemię Chawila, gdzie znajduje się złoto.
10	2	12	A złoto tej ziemi jest wyborne. Tam też jest bdellium i kamień onyksowy.
10	2	13	Nazwa drugiej rzeki – Gichon; ta okrąża całą ziemię Kusz.
10	2	14	Nazwa zaś trzeciej rzeki – Chiddekel; płynie ona na wschód ku Asyrii. A czwarta rzeka to Eufrat.
10	2	15	PAN Bóg wziął więc człowieka i umieścił go w ogrodzie Eden, aby go uprawiał i strzegł.
10	2	16	I rozkazał PAN Bóg człowiekowi: Możesz jeść do woli z każdego drzewa ogrodu;
10	2	17	Ale z drzewa poznania dobra i zła jeść nie będziesz, bo tego dnia, kiedy zjesz z niego, na pewno umrzesz.
10	2	18	PAN Bóg powiedział też: Niedobrze, by człowiek był sam; uczynię mu odpowiednią dla niego pomoc.
10	2	19	I ukształtował PAN Bóg z ziemi wszelkie zwierzęta polne i wszelkie ptactwo niebieskie, i przyprowadził je do Adama, aby zobaczyć, jak je nazwie; a jak Adam nazwał każdą istotę żywą, taka była jej nazwa.
10	2	20	I Adam nadał nazwy wszelkiemu bydłu i ptactwu niebieskiemu, i wszelkim zwierzętom polnym. Dla Adama jednak nie znalazła się pomoc odpowiednia dla niego.
10	2	21	Wtedy PAN Bóg zesłał głęboki sen na Adama; a gdy zasnął, wyjął jedno z jego żeber i zapełnił ciałem miejsce po nim.
10	2	22	I z tego żebra, które PAN Bóg wyjął z Adama, utworzył kobietę i przyprowadził ją do Adama.
10	2	23	I Adam powiedział: To teraz jest kość z moich kości i ciało z mojego ciała; dlatego będzie nazwana kobietą, bo z mężczyzny została wzięta.
10	2	24	Dlatego opuści mężczyzna swojego ojca i swoją matkę i połączy się ze swoją żoną, i będą jednym ciałem.
10	2	25	I oboje, Adam i jego żona, byli nadzy, a nie wstydzili się.
10	3	1	A wąż był bardziej przebiegły niż wszystkie zwierzęta polne, które PAN Bóg uczynił. Powiedział on do kobiety: Czy Bóg rzeczywiście powiedział: Nie wolno wam jeść ze wszystkich drzew tego ogrodu?
10	3	2	I kobieta odpowiedziała wężowi: Możemy jeść owoce z drzew tego ogrodu;
10	3	3	Ale o owocu drzewa, które jest pośrodku ogrodu, Bóg powiedział: Nie będziecie z niego jeść ani go dotykać, abyście nie umarli.
10	3	4	I wąż powiedział do kobiety: Na pewno nie umrzecie;
10	3	5	Ale Bóg wie, że tego dnia, gdy z niego zjecie, otworzą się wasze oczy i będziecie jak bogowie znający dobro i zło.
10	3	6	A gdy kobieta spostrzegła, że owoc drzewa był dobry do jedzenia i miły dla oka, a drzewo godne pożądania dla zdobycia wiedzy, wzięła z niego owoc i zjadła; dała też swemu mężowi, który był z nią; i on zjadł.
10	3	7	I otworzyły się im obojgu oczy i poznali, że są nadzy. Spletli więc liście figowe i zrobili sobie przepaski.
10	3	8	Wtedy usłyszeli głos PANA Boga chodzącego po ogrodzie w powiewie dziennym. I Adam, i jego żona ukryli się przed obliczem PANA Boga wśród drzew ogrodu.
10	3	9	I PAN Bóg zawołał na Adama, i zapytał go: Gdzie jesteś?
10	3	10	On odpowiedział: Usłyszałem twój głos w ogrodzie i zląkłem się, gdyż jestem nagi, i ukryłem się.
10	3	11	Bóg zapytał: Kto ci powiedział, że jesteś nagi? Czy zjadłeś z drzewa, z którego zakazałem ci jeść?
10	3	12	Adam odpowiedział: Kobieta, którą mi dałeś, aby była ze mną, ona dała mi z tego drzewa i zjadłem.
10	3	13	PAN Bóg zapytał kobietę: Co zrobiłaś? I odpowiedziała kobieta: Wąż mnie zwiódł i zjadłam.
